"","episode_date","location","cases","month_day","daily_avg_cases"
"1",2024-11-01,"Other HHS",0,"11-01",0
"2",2024-11-02,"Other HHS",0,"11-02",0.2
"3",2024-11-03,"Other HHS",1,"11-03",0
"4",2024-11-04,"Other HHS",0,"11-04",0
"5",2024-11-05,"Other HHS",0,"11-05",0
"6",2024-11-06,"Other HHS",0,"11-06",0
"7",2024-11-07,"Other HHS",0,"11-07",0
"8",2024-11-08,"Other HHS",0,"11-08",0
"9",2024-11-09,"Other HHS",0,"11-09",0
"10",2024-11-10,"Other HHS",0,"11-10",0.2
"11",2024-11-11,"Other HHS",0,"11-11",0.2
"12",2024-11-12,"Other HHS",0,"11-12",0
"13",2024-11-13,"Other HHS",0,"11-13",0
"14",2024-11-14,"Other HHS",0,"11-14",0
"15",2024-11-15,"Other HHS",0,"11-15",0
"16",2024-11-16,"Other HHS",0,"11-16",0
"17",2024-11-17,"Other HHS",0,"11-17",0
"18",2024-11-18,"Other HHS",0,"11-18",0.2
"19",2024-11-19,"Other HHS",0,"11-19",0.2
"20",2024-11-20,"Cairns and Hinterland",1,"11-20",0.4
"21",2024-11-21,"Other HHS",0,"11-21",0
"22",2024-11-22,"Other HHS",0,"11-22",0
"23",2024-11-23,"Other HHS",0,"11-23",0
"24",2024-11-24,"Other HHS",0,"11-24",0.4
"25",2024-11-25,"Other HHS",0,"11-25",0.2
"26",2024-11-26,"Other HHS",0,"11-26",0.2
"27",2024-11-27,"Other HHS",0,"11-27",0
"28",2024-11-28,"Other HHS",0,"11-28",0
"29",2024-11-29,"Other HHS",0,"11-29",0.2
"30",2024-11-30,"Other HHS",1,"11-30",0
"31",2024-12-01,"Other HHS",0,"12-01",0.4
"32",2024-12-02,"Other HHS",0,"12-02",0
"33",2024-12-03,"Other HHS",0,"12-03",0
"34",2024-12-04,"Other HHS",0,"12-04",0.2
"35",2024-12-05,"Other HHS",0,"12-05",0
"36",2024-12-06,"Other HHS",0,"12-06",0.2
"37",2024-12-07,"Other HHS",0,"12-07",0
"38",2024-12-08,"Other HHS",0,"12-08",0
"39",2024-12-09,"Other HHS",0,"12-09",0
"40",2024-12-10,"Other HHS",0,"12-10",0
"41",2024-12-11,"Other HHS",0,"12-11",0.2
"42",2024-12-12,"Other HHS",0,"12-12",0
"43",2024-12-13,"Cairns and Hinterland",1,"12-13",0
"44",2024-12-14,"Other HHS",0,"12-14",0
"45",2024-12-15,"Other HHS",0,"12-15",0.4
"46",2024-12-16,"Other HHS",0,"12-16",0.2
"47",2024-12-17,"Other HHS",0,"12-17",0.2
"48",2024-12-18,"Townsville",1,"12-18",0.4
"49",2024-12-19,"Other HHS",0,"12-19",0.6
"50",2024-12-20,"Other HHS",1,"12-20",0.2
"51",2024-12-21,"Other HHS",0,"12-21",0
"52",2024-12-22,"Other HHS",0,"12-22",0
"53",2024-12-23,"Townsville",1,"12-23",0.4
"54",2024-12-24,"Cairns and Hinterland",1,"12-24",0
"55",2024-12-25,"Cairns and Hinterland",1,"12-25",0.2
"56",2024-12-26,"Cairns and Hinterland",2,"12-26",0
"57",2024-12-27,"Cairns and Hinterland",1,"12-27",0
"58",2024-12-28,"Other HHS",0,"12-28",0.2
"59",2024-12-29,"Townsville",1,"12-29",0.2
"60",2024-12-30,"Other HHS",0,"12-30",0.2
"61",2024-12-31,"Cairns and Hinterland",1,"12-31",0.6
"62",2025-01-01,"Cairns and Hinterland",1,"01-01",0.2
"63",2025-01-02,"Other HHS",0,"01-02",0
"64",2025-01-03,"Townsville",1,"01-03",0.6
"65",2025-01-04,"Cairns and Hinterland",1,"01-04",0
"66",2025-01-04,"Townsville",1,"01-04",0
"67",2025-01-05,"Other HHS",0,"01-05",0.2
"68",2025-01-06,"Other HHS",0,"01-06",0
"69",2025-01-07,"Cairns and Hinterland",1,"01-07",0.6
"70",2025-01-08,"Other HHS",0,"01-08",0
"71",2025-01-09,"Cairns and Hinterland",2,"01-09",0
"72",2025-01-10,"Cairns and Hinterland",1,"01-10",0
"73",2025-01-11,"Other HHS",0,"01-11",0.4
"74",2025-01-12,"Other HHS",0,"01-12",0.2
"75",2025-01-13,"Other HHS",0,"01-13",0.4
"76",2025-01-14,"Other HHS",0,"01-14",0.8
"77",2025-01-15,"Other HHS",0,"01-15",0.8
"78",2025-01-16,"Townsville",1,"01-16",0.8
"79",2025-01-17,"Other HHS",0,"01-17",0.2
"80",2025-01-18,"Cairns and Hinterland",3,"01-18",0.2
"81",2025-01-19,"Other HHS",0,"01-19",0.8
"82",2025-01-20,"Other HHS",1,"01-20",0.4
"83",2025-01-21,"Other HHS",0,"01-21",0.6
"84",2025-01-22,"Other HHS",0,"01-22",0.6
"85",2025-01-23,"Other HHS",0,"01-23",0
"86",2025-01-24,"Other HHS",0,"01-24",0.2
"87",2025-01-25,"Other HHS",1,"01-25",0.2
"88",2025-01-26,"Cairns and Hinterland",1,"01-26",0.4
"89",2025-01-27,"Cairns and Hinterland",1,"01-27",0.6
"90",2025-01-27,"Townsville",1,"01-27",0.6
"91",2025-01-28,"Cairns and Hinterland",2,"01-28",1
"92",2025-01-29,"Cairns and Hinterland",4,"01-29",0.2
"93",2025-01-29,"Townsville",1,"01-29",0.2
"94",2025-01-30,"Cairns and Hinterland",2,"01-30",0.8
"95",2025-01-30,"Townsville",2,"01-30",0.8
"96",2025-01-31,"Cairns and Hinterland",7,"01-31",1.4
"97",2025-01-31,"Townsville",5,"01-31",1.4
"98",2025-02-01,"Cairns and Hinterland",4,"02-01",0.8
"99",2025-02-01,"Townsville",2,"02-01",0.8
"100",2025-02-01,"Other HHS",1,"02-01",0.8
"101",2025-02-02,"Cairns and Hinterland",2,"02-02",0.6
"102",2025-02-02,"Townsville",2,"02-02",0.6
"103",2025-02-03,"Cairns and Hinterland",4,"02-03",0.6
"104",2025-02-03,"Townsville",3,"02-03",0.6
"105",2025-02-04,"Cairns and Hinterland",2,"02-04",0.2
"106",2025-02-04,"Other HHS",2,"02-04",0.2
"107",2025-02-05,"Cairns and Hinterland",2,"02-05",0.2
"108",2025-02-05,"Townsville",4,"02-05",0.2
"109",2025-02-05,"Other HHS",2,"02-05",0.2
"110",2025-02-06,"Cairns and Hinterland",1,"02-06",0.8
"111",2025-02-06,"Townsville",1,"02-06",0.8
"112",2025-02-07,"Cairns and Hinterland",3,"02-07",0.4
"113",2025-02-07,"Townsville",3,"02-07",0.4
"114",2025-02-08,"Cairns and Hinterland",1,"02-08",0.4
"115",2025-02-08,"Townsville",1,"02-08",0.4
"116",2025-02-09,"Cairns and Hinterland",3,"02-09",0.4
"117",2025-02-09,"Townsville",1,"02-09",0.4
"118",2025-02-10,"Cairns and Hinterland",2,"02-10",0.8
"119",2025-02-11,"Cairns and Hinterland",2,"02-11",0.6
"120",2025-02-11,"Other HHS",2,"02-11",0.6
"121",2025-02-12,"Cairns and Hinterland",1,"02-12",0.4
"122",2025-02-12,"Townsville",1,"02-12",0.4
"123",2025-02-13,"Cairns and Hinterland",1,"02-13",0.2
"124",2025-02-13,"Townsville",4,"02-13",0.2
