"","date","ingham_rainfall_mm","cairns_rainfall_mm","townsville_rainfall_mm","average_rainfall","monsoon_year"
"1",2024-11-01,1.2,0,0,0.4,2025
"2",2024-11-02,0,0,0,0,2025
"3",2024-11-03,0,0,0,0,2025
"4",2024-11-04,0,0,0,0,2025
"5",2024-11-05,0,0,0,0,2025
"6",2024-11-06,0,0,0,0,2025
"7",2024-11-07,0,0,0,0,2025
"8",2024-11-08,0,0,0,0,2025
"9",2024-11-09,0.2,0,0,0.0666666666666667,2025
"10",2024-11-10,0.2,0,0,0.0666666666666667,2025
"11",2024-11-11,0,0,0,0,2025
"12",2024-11-12,0,0,0,0,2025
"13",2024-11-13,0,0,0,0,2025
"14",2024-11-14,16,0.2,0,5.4,2025
"15",2024-11-15,0,0.2,0,0.0666666666666667,2025
"16",2024-11-16,0,0,5.8,1.93333333333333,2025
"17",2024-11-17,0,0,0.2,0.0666666666666667,2025
"18",2024-11-18,0.8,0,0,0.266666666666667,2025
"19",2024-11-19,0,0,0,0,2025
"20",2024-11-20,0,0,0,0,2025
"21",2024-11-21,4.8,0,1.2,2,2025
"22",2024-11-22,85,0,35.6,40.2,2025
"23",2024-11-23,0,5.8,0,1.93333333333333,2025
"24",2024-11-24,23.2,0,0,7.73333333333333,2025
"25",2024-11-25,3.4,0,0,1.13333333333333,2025
"26",2024-11-26,0,1,1.4,0.8,2025
"27",2024-11-27,0,0,0,0,2025
"28",2024-11-28,0,0,0,0,2025
"29",2024-11-29,1.2,0.2,0,0.466666666666667,2025
"30",2024-11-30,12.2,26.2,26.2,21.5333333333333,2025
"31",2024-12-01,2.6,11.6,1.2,5.13333333333333,2025
"32",2024-12-02,0,0,1.8,0.6,2025
"33",2024-12-03,0,45.8,18.8,21.5333333333333,2025
"34",2024-12-04,18,41.2,8.2,22.4666666666667,2025
"35",2024-12-05,43.2,87.2,37.4,55.9333333333333,2025
"36",2024-12-06,15.2,0,0,5.06666666666667,2025
"37",2024-12-07,6,0,3.4,3.13333333333333,2025
"38",2024-12-08,5.2,31.4,0,12.2,2025
"39",2024-12-09,0.2,13.4,2.2,5.26666666666667,2025
"40",2024-12-10,0,0,0,0,2025
"41",2024-12-11,0.2,0,0,0.0666666666666667,2025
